label,count
Other languages,208
Udupi cuisine,160
Places in KA,119
Chettinad cuisine,58
Gowda (often Vokkaliga),34
Brahmin (general),31
Reddy,19
Gupta,19
Naidu,16
Tamil caste surnames (Pillai/Mudaliar/Nadar/Gounder/Thevar/Naicker/Pandian),15
Kodava / Coorg,13
Iyer (Tamil Brahmin),12
Jain,11
Kamath,11
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),10
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,7
Iyengar (Tamil Brahmin),5
Naik/Nayak,4
Shetty (often Bunt),4
Agarwal/Agrawal,4
Rao,4
Mangalorean / Tulu Nadu,4
Pai,4
Marwari,2
Gaud Saraswat / GSB,2
Chettiar (Tamil merchant),2
Bhat/Bhatt,2
Havyaka (Brahmin),1
Madhva / Dvaita (Brahmin),1
