place_id,name,source,lang,cell_idx,query_center_lat,query_center_lon,lat,lon,page,region_id,region_name,collected_at
ChIJhYcv6iRvUjoRjstPjywevQo,Ambur Briyani Shop,places,en,0,13.084794299999999,80.2799433,13.0845019,80.2793299,0,maa2,Chennai,2026-08-31T08:56:09.935368Z
ChIJuTuxBtVvUjoRLm-15ylxHvo,Bismillah Bai Briyani,places,en,0,13.084794299999999,80.2799433,13.0841883,80.27905109999999,0,maa2,Chennai,2026-08-31T08:56:09.935386Z
ChIJa0DJdSBpUjoRG_-u6wp0rSA,A1 Restaurant,places,en,0,13.084794299999999,80.2799433,13.0838516,80.27920449999999,0,maa2,Chennai,2026-08-31T08:56:09.935391Z
ChIJ4f-QlwRvUjoR6Pz4ITZxbFQ,Raja Tiffan Centre,places,en,0,13.084794299999999,80.2799433,13.083986999999999,80.2789896,0,maa2,Chennai,2026-08-31T08:56:09.935395Z
ChIJbbGqXVRvUjoRT2IgruLKJWM,Annalakshmi foods the Vada Shop,places,en,0,13.084794299999999,80.2799433,13.0859069,80.2807404,0,maa2,Chennai,2026-08-31T08:56:09.935398Z
ChIJTSl-wklvUjoRdsPz7sfBHqo,N K Sriram,places,en,0,13.084794299999999,80.2799433,13.086164799999999,80.2807036,0,maa2,Chennai,2026-08-31T08:56:09.935401Z
ChIJgawJIQBvUjoRaLARJvkqVXU,Mani Sri sastha kitchen,places,en,0,13.084794299999999,80.2799433,13.0836759,80.2784355,0,maa2,Chennai,2026-08-31T08:56:09.935404Z
ChIJl6gdeQBvUjoRNlGlsRwDrT8,KUMARAN CAFE,places,en,0,13.084794299999999,80.2799433,13.083632399999999,80.2784518,0,maa2,Chennai,2026-08-31T08:56:09.935406Z
ChIJMVcCTQBvUjoRyEtJPZVgBww,Amma tiffen center,places,en,0,13.084794299999999,80.2799433,13.083278900000002,80.278615,0,maa2,Chennai,2026-08-31T08:56:09.935409Z
ChIJ44cgJABvUjoRYJWY9_KAhw8,Pintu Kumar,places,en,0,13.084794299999999,80.2799433,13.0851586,80.282045,0,maa2,Chennai,2026-08-31T08:56:09.935412Z
ChIJwWVZKAtvUjoRfOI2mCOYDCI,S S JUICE Center,places,en,0,13.084794299999999,80.2799433,13.086181499999999,80.27831069999999,0,maa2,Chennai,2026-08-31T08:56:09.935414Z
ChIJ58HIPQBvUjoRMsJ_ja8Ce6s,Laxmi Handicrafts,places,en,0,13.084794299999999,80.2799433,13.086326,80.278262,0,maa2,Chennai,2026-08-31T08:56:09.935417Z
ChIJY2iAynVvUjoRbVxQrUjCdzw,Sri Lakshmi Cafe,places,en,0,13.084794299999999,80.2799433,13.083374599999999,80.2780427,0,maa2,Chennai,2026-08-31T08:56:09.935420Z
ChIJzVeCPQBvUjoRApqj_DfdVlw,Shyam Dhaba pure veg,places,en,0,13.084794299999999,80.2799433,13.083533899999999,80.2778584,0,maa2,Chennai,2026-08-31T08:56:09.935422Z
ChIJFZcIPo1vUjoR25mjlosp3Ag,Shri Ganesh Vilas,places,en,0,13.084794299999999,80.2799433,13.083330199999999,80.2779683,0,maa2,Chennai,2026-08-31T08:56:09.935425Z
ChIJMX7YN1VvUjoR474r_tSU-P4,Hamely Food,places,en,0,13.084794299999999,80.2799433,13.083015099999999,80.2781978,0,maa2,Chennai,2026-08-31T08:56:09.935427Z
ChIJuW0kuVVvUjoR5iiSJdA61Zg,NORTHMAL CHAT,places,en,0,13.084794299999999,80.2799433,13.086931,80.278556,0,maa2,Chennai,2026-08-31T08:56:09.935430Z
ChIJZS5GQ1VvUjoRYaEMK3vhA6c,Aroma Biriyani,places,en,0,13.084794299999999,80.2799433,13.085466900000002,80.27739629999999,0,maa2,Chennai,2026-08-31T08:56:09.935433Z
ChIJ1aneelVvUjoR18nmXuKlXIY,অন্নপুর্না হোটেল রেস্টুরেন্ট,places,en,0,13.084794299999999,80.2799433,13.084602199999999,80.277277,0,maa2,Chennai,2026-08-31T08:56:09.935436Z
ChIJJyWxFQBpUjoRJQQ9pdDwKUc,Canteen,places,en,0,13.084794299999999,80.2799433,13.082189699999999,80.2802035,0,maa2,Chennai,2026-08-31T08:56:09.935439Z
ChIJ35-BfD9mUjoRCr7lnYS8B9Q,Zahoor biriyani & fastfood,places,en,1,13.054948,80.25443275,13.055344999999999,80.2546967,0,maa2,Chennai,2026-08-31T08:56:10.365642Z
