segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
0,23138296,Rd. No. 224,secondary,28.5946784,77.0718341,28.590799,77.0694047,28.592738699999998,77.0706194,52
280,39451642,,tertiary,28.5981988,77.0287781,28.5970303,77.0278273,28.59761455,77.0283027,43
467,86330090,,residential,28.5903498,77.0732419,28.5937,77.0752617,28.5920249,77.0742518,41
584,164823277,,residential,28.6046787,76.9897601,28.6046791,76.9872308,28.6046789,76.98849545,97
907,168926958,,residential,28.5988284,76.9796503,28.6027595,76.9797289,28.60079395,76.9796896,62
962,168951946,Iskcon Temple Road,residential,28.6038308,77.033532,28.5997573,77.0363029,28.601794050000002,77.03491745,26
1107,169960440,,tertiary,28.5563484,76.9153542,28.5539173,76.9109032,28.55513285,76.9131287,6
1716,202949277,,unclassified,28.6084378,77.0350741,28.6131531,77.0335428,28.61079545,77.03430845,26
2184,313488525,,tertiary,28.5984968,77.0317623,28.5983902,77.0319196,28.598443500000002,77.03184095,31
2395,344210365,,unclassified,28.5715409,77.0654772,28.5677791,77.062279,28.56966,77.06387810000001,6
2528,369837720,Bindapur Road,residential,28.6185702,77.0688567,28.6150533,77.0687606,28.61681175,77.06880865,89
2670,371125865,,residential,28.6269477,77.0312723,28.6269779,77.0328175,28.6269628,77.03204489999999,62
2808,374689133,,residential,28.6194063,77.0455539,28.619535,77.0468993,28.61947065,77.04622660000001,82
3401,421767065,,residential,28.5187052,76.8830377,28.5200468,76.8884859,28.519376,76.88576180000001,1
3723,422576659,,residential,28.6268742,76.9397663,28.6268644,76.9422029,28.6268693,76.94098460000001,38
4111,422793994,,residential,28.6132073,76.9590624,28.612819,76.959055,28.61301315,76.9590587,38
4116,422794000,,residential,28.6086669,76.9593059,28.6046143,76.9598155,28.6066406,76.9595607,65
4523,423107237,,residential,28.5445179,76.9606995,28.5427454,76.9626835,28.543631650000002,76.9616915,11
4637,423109053,,residential,28.5909879,76.9967714,28.5899387,76.9967607,28.5904633,76.99676604999999,55
4710,423111515,,residential,28.5922244,77.008507,28.5922078,77.0070798,28.5922161,77.0077934,49
5999,423283992,,residential,28.5638478,77.0067818,28.5638235,77.0080587,28.56383565,77.00742025,16
6065,423284136,,residential,28.5586695,77.0058352,28.5577282,77.0088593,28.55819885,77.00734725000001,25
6309,423301258,,residential,28.631066,77.0197003,28.6310742,77.0190394,28.631070100000002,77.01936985,58
6611,423345696,,residential,28.6432726,77.0327757,28.6412532,77.0326305,28.6422629,77.03270309999999,76
6773,423370054,,residential,28.6371889,77.0278122,28.6377735,77.0277864,28.637481200000003,77.0277993,75
6774,423370055,,residential,28.6383974,77.0324121,28.6388036,77.0324055,28.6386005,77.0324088,77
6937,423380396,,residential,28.5593958,77.0708642,28.5588793,77.0718968,28.559137550000003,77.0713805,31
7309,423400704,,residential,28.615491,77.035802,28.6139713,77.0357825,28.614731149999997,77.03579225,37
7803,423572559,,residential,28.6463878,77.0736712,28.6479684,77.0720404,28.647178099999998,77.07285580000001,74
7935,423591126,,residential,28.6305109,77.07895,28.6320142,77.0781822,28.631262550000002,77.0785661,83
